DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1979,46.58,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1980,54.14,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1981,60.25,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1982,38.62,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1983,39.42,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1984,31.65,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1985,75.58,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1986,70.43,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1987,133.66,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1988,145.84,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1989,56.15,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1990,77.91,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1991,62.87,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1992,116.39,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1993,125.19,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1994,149.42,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1995,55.38,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1996,111.75,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1997,59.58,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1998,177.27,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,1999,143.12,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2000,216.71,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2001,203.57,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2002,129.26,,
